title,mal_id,url,image,synopsis,title_english,title_japanese,title_synonyms,genres_1,genres_2,genres_3,genres_4,genres_5,explicit_genres_1,explicit_genres_2,explicit_genres_3,explicit_genres_4,explicit_genres_5,demographics_1,demographics_2,demographics_3,themes_1,themes_2,themes_3,genres_6,genres_7,genres_8,themes_4,combined_title
20th Century Boys,3,https://myanimelist.net/manga/3/20th_Century_Boys,https://cdn.myanimelist.net/images/manga/1/54437.jpg?s=2dfac509e795f7cc672f1b4c4930bf92,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better. Kenji Endo is a normal convenience store manager who's just t...",20th Century Boys,20世紀少年,/20 Seiki Shounen/Nijuu Seiki Shounen/Nijuusseiki Shounen/20thCB,Drama,Mystery,Sci-Fi,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Historical,Psychological,nil,,,,,20th Century Boys/20世紀少年/20 Seiki Shounen/Nijuu Seiki Shounen/Nijuusseiki Shounen/20thCB
Akumetsu,1101,https://myanimelist.net/manga/1101/Akumetsu,https://cdn.myanimelist.net/images/manga/2/183734.jpg?s=910c302ebced39eff1fa67b18e61f11a,"Due to an economic downturn plaguing Japan, Shiina Nagasawa decides to take up prostitution as a means to support her family after her father goes bankrupt. To this end, she attends a party where the...",nil,アクメツ,nil,Action,Drama,Suspense,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Police,Psychological,nil,,,,,Akumetsu/アクメツ
Ayashimon,141583,https://myanimelist.net/manga/141583/Ayashimon,https://cdn.myanimelist.net/images/manga/1/256654.jpg?s=fe0adc91d9a7830fd781a9de4c0ae18d,"Years ago, the death of the infamous Enma Syndicate's chairman, who united all those below him, led to numerous individual yakuza groups being created. These groups are filled with ""ayashimon""—superna...",nil,アヤシモン,nil,Action,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,,Ayashimon/アヤシモン
Dandadan,135496,https://myanimelist.net/manga/135496/Dandadan,https://cdn.myanimelist.net/images/manga/2/248746.jpg?s=a86007740a5ae53f941895995c3299e3,"After being aggressively rejected, Momo Ayase finds herself sulking when she stumbles across a boy being bullied. Saved by her rash kindness, the occult-obsessed boy attempts to speak to her about sup...",Dandadan,ダンダダン,nil,Action,Comedy,Sci-Fi,Supernatural,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,,Dandadan/ダンダダン
Jigokuraku,112318,https://myanimelist.net/manga/112318/Jigokuraku,https://cdn.myanimelist.net/images/manga/2/208522.jpg?s=d4c4baf56356696201a3ba8b8a67a35c,"Gabimaru the Hollow, a ninja of Iwagakure Village known for being cold and emotionless, was set up by his fellow ninja and is now on death row. Tired of killing and betrayal, he wants to die. However,...",Hell's Paradise: Jigokuraku,地獄楽,/Paradition/Heavenhell,Action,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Historical,nil,nil,,,,,Jigokuraku/Hell's Paradise: Jigokuraku/地獄楽/Paradition/Heavenhell
Last Game,30315,https://myanimelist.net/manga/30315/Last_Game,https://cdn.myanimelist.net/images/manga/5/65713.jpg?s=e69510ec79d3f4811c0c7dc3aebbc27b,"Nothing is beyond Naoto Yanagi, heir to the Yanagi business conglomerate. Idolized for his athletic and intellectual competence, looks and wealth, Naoto lived like a king during his elementary school...",nil,ラストゲーム,/Kimi to/Shiawase./Hidamari no Niwa/Wasureyuki/Ninkoi,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,nil,nil,nil,,,,,Last Game/ラストゲーム/Kimi to/Shiawase./Hidamari no Niwa/Wasureyuki/Ninkoi
Shuumatsu no Harem,98752,https://myanimelist.net/manga/98752/Shuumatsu_no_Harem,https://cdn.myanimelist.net/images/manga/3/183037.jpg?s=70aa35433da74500160dc3f3c0468733,"Diagnosed with multiple sclerosis, young researcher Reito Mizuhara is to be put into cryosleep until a cure can be found. Short on time, Reito decides to confess his pent-up feelings to his childhood...",World's End Harem,終末のハーレム,/Shuumatsu no Harem: After World/World's End Harem: After World,Sci-Fi,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,nil,nil,,,,,Shuumatsu no Harem/World's End Harem/終末のハーレム/Shuumatsu no Harem: After World/World's End Harem: After World
Solo Leveling,121496,https://myanimelist.net/manga/121496/Solo_Leveling,https://cdn.myanimelist.net/images/manga/3/222295.jpg?s=b3abea95ceaccea8adf223bd0e4047b6,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunte...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Solo Leveling
Vagabond,656,https://myanimelist.net/manga/656/Vagabond,https://cdn.myanimelist.net/images/manga/2/181787.jpg?s=bbd3ff81b5d8e50781531c60cd68773f,"In 16th-century Japan, Shinmen Takezou is a wild, rough young man, in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading hi...",Vagabond,バガボンド,nil,Action,Adventure,Drama,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Historical,Samurai,nil,,,,,Vagabond/バガボンド
Wind Breaker,133081,https://myanimelist.net/manga/133081/Wind_Breaker,https://cdn.myanimelist.net/images/manga/1/244074.jpg?s=db057fe8bd4c691541e457635ac37d8c,,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Wind Breaker
