mal_id,title_english,title_japanese,title_synonyms,genres_1,genres_2,genres_3,genres_4,genres_5,explicit_genres_1,explicit_genres_2,explicit_genres_3,explicit_genres_4,explicit_genres_5,demographics_1,demographics_2,demographics_3,themes_1,themes_2,themes_3,genres_6,genres_7,genres_8,themes_4
3,20th Century Boys,20世紀少年,/20 Seiki Shounen/Nijuu Seiki Shounen/Nijuusseiki Shounen/20thCB,Drama,Mystery,Sci-Fi,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Historical,Psychological,nil,,,,
1101,nil,アクメツ,nil,Action,Drama,Suspense,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Police,Psychological,nil,,,,
141583,nil,アヤシモン,nil,Action,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
135496,Dandadan,ダンダダン,nil,Action,Comedy,Sci-Fi,Supernatural,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
112318,Hell's Paradise: Jigokuraku,地獄楽,/Paradition/Heavenhell,Action,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Historical,nil,nil,,,,
30315,nil,ラストゲーム,/Kimi to/Shiawase./Hidamari no Niwa/Wasureyuki/Ninkoi,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,nil,nil,nil,,,,
98752,World's End Harem,終末のハーレム,/Shuumatsu no Harem: After World/World's End Harem: After World,Sci-Fi,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,nil,nil,,,,
121496,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
656,Vagabond,バガボンド,nil,Action,Adventure,Drama,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Historical,Samurai,nil,,,,
133081,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
116778,Chainsaw Man,チェンソーマン,nil,Action,Adventure,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Demons,nil,nil,,,,
99969,My Lesbian Experience With Loneliness,さびしすぎてレズ風俗に行きましたレポ,/The Private Report on My Lesbian Experience with Loneliness,Girls Love,Slice of Life,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
436,Uzumaki: Spiral into Horror,うずまき,/The Spiral,Avant Garde,Drama,Horror,Supernatural,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
119534,nil,うずまき特別編 銀河,/Uzumaki Lost Chapter: Galaxies,Horror,nil,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
401,Parasyte,寄生獣,/Parasite/Parasitic Beasts,Action,Drama,Horror,Sci-Fi,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Psychological,nil,nil,,,,
104565,Tokyo Revengers,東京卍リベンジャーズ,/Tokyo Manji Revengers,Action,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
65981,Metamorphosis,変身,/Emergence.,Drama,Hentai,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,
130538,True Beauty,여신 강림,/Descent of a Goddess/Yeosin Gangnim,Comedy,Drama,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
58007,Attack on Titan: No Regrets,進撃の巨人 悔いなき選択,/Attack on Titan Side Story: A Choice with No Regrets/Shingeki no Kyojin: Birth of Levi/Shingeki no Kyojin Gaiden/The Birth of Rivaille,Action,Fantasy,Supernatural,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,nil,nil,nil,,,,
44347,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
23390,Attack on Titan,進撃の巨人,nil,Action,Drama,Fantasy,Mystery,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Military,Super Power,nil,,,,
119161,Spy x Family,SPY×FAMILY,nil,Action,Comedy,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
100128,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
112398,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
96704,nil,姉なるもの,/The sister of the Woods with a Thousand Young/An Elder Sister,Supernatural,Hentai,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,Doujinshi,nil,nil,,,,
115067,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
